"","SEX","AGE_GROUP","ACTIVITY","mean","sd","n"
"81","1","45-54",NA,284.241482443516,209.646140895039,620
"82","1","45-54",NA,21.0181688664038,51.6608709300087,620
"83","1","45-54",NA,53.9381176805836,62.7123186903151,620
"84","1","45-54",NA,1.84519863961218,17.1423473357935,620
"85","1","45-54",NA,296.549339018916,278.459062420467,620
"86","1","55-64",NA,6.48196087117005,38.3839643931641,717
"87","1","55-64",NA,7.97732225334171,47.5748393923574,717
"88","1","55-64",NA,0.614291320376771,9.23511752683652,717
"89","1","55-64",NA,64.1625787842015,47.1192719428665,717
"90","1","55-64",NA,0.325366113004584,3.45712727760537,717
"91","1","55-64",NA,116.127244476932,154.790962418694,717
"92","1","55-64",NA,1.52231432664293,13.0641253376699,717
"93","1","55-64",NA,554.602103008591,138.543643391869,717
"94","1","55-64",NA,4.40267607408154,18.5221492113887,717
"95","1","55-64",NA,4.22282837078007,33.3202898187132,717
"96","1","55-64",NA,13.1941236420771,31.6944208275375,717
"97","1","55-64",NA,5.05331733707278,23.9816879083183,717
"98","1","55-64",NA,333.783016927004,235.886307483074,717
"99","1","55-64",NA,16.9874694238629,50.5094298122008,717
"100","1","55-64",NA,48.2272325430869,57.772725369162,717
"101","1","55-64",NA,6.38010901549919,39.6185857032103,717
"102","1","55-64",NA,243.081757030355,276.450517040167,717
"103","1","65-74",NA,3.48605327753809,20.8854700179476,645
"104","1","65-74",NA,11.7741011921073,55.6552371884603,645
"105","1","65-74",NA,0.770139069947303,13.1968683431255,645
"106","1","65-74",NA,74.3012840397939,53.6563611505271,645
"107","1","65-74",NA,0.328602608063017,4.52397945250433,645
"108","1","65-74",NA,136.463258211124,155.29209360334,645
"109","1","65-74",NA,2.913532679022,20.9562586715818,645
"110","1","65-74",NA,557.151410733366,130.626736706821,645
"111","1","65-74",NA,4.60403974165198,19.4099150249094,645
"112","1","65-74",NA,6.68020755209982,31.9415741475972,645
"113","1","65-74",NA,18.2943444377469,41.7278369963048,645
"114","1","65-74",NA,7.42220105084943,41.1627885468882,645
"115","1","65-74",NA,416.838074362366,244.038660668003,645
"116","1","65-74",NA,24.4099181661073,58.8220496324205,645
"117","1","65-74",NA,47.0904604682707,66.8474572011738,645
"118","1","65-74",NA,8.33324156489762,50.3434829882765,645
"119","1","65-74",NA,107.488359723376,210.202287659711,645
"120","1","75+",NA,1.62906999442397,10.7206246314181,367
"121","1","75+",NA,9.39109039247855,48.2348697061859,367
"122","1","75+",NA,0.796697834424096,9.00575498879532,367
"123","1","75+",NA,78.5286483623572,49.8468521538446,367
"124","1","75+",NA,0.238976452766519,3.22851521350816,367
"125","1","75+",NA,136.568519354464,140.314214895147,367
"126","1","75+",NA,1.0254916053334,7.78624347286425,367
"127","1","75+",NA,576.97508631836,126.340330437021,367
"128","1","75+",NA,6.96605616178042,25.3979773180211,367
"129","1","75+",NA,7.91942423784226,35.5029286118542,367
"130","1","75+",NA,18.1592537081373,41.4964884367816,367
"131","1","75+",NA,6.48207411394631,30.1783232742762,367
"132","1","75+",NA,484.417002685991,220.540149595688,367
"133","1","75+",NA,17.0314165968465,51.6620561178842,367
"134","1","75+",NA,38.4935693228332,52.9638123036731,367
"135","1","75+",NA,6.25102634453618,31.2439096973539,367
"136","1","75+",NA,34.5222327826411,118.048143344644,367
"137","2","15-24",NA,15.8774587685141,56.4359152645026,318
"138","2","15-24",NA,6.95781258462866,37.7498230862543,318
"139","2","15-24",NA,130.904660621377,197.421251375238,318
"140","2","15-24",NA,55.796576202901,37.1257828551953,318
"141","2","15-24",NA,0,0,318
"142","2","15-24",NA,63.124107817532,83.6618062274199,318
"143","2","15-24",NA,1.00214385729227,9.43049821179368,318
"144","2","15-24",NA,628.051514380209,133.883971612806,318
"145","2","15-24",NA,15.7931532195106,48.682987886091,318
"146","2","15-24",NA,3.7816357337184,26.5634526986332,318
"147","2","15-24",NA,17.3848580313512,40.4142468762981,318
"148","2","15-24",NA,6.38603070697597,31.717624338794,318
"149","2","15-24",NA,264.168158012689,195.829293646347,318
"150","2","15-24",NA,25.2031013516175,64.3777465162338,318
"151","2","15-24",NA,56.8728500139441,78.7146363596501,318
"152","2","15-24",NA,3.10654233769711,18.0448797053442,318
"153","2","15-24",NA,137.916475447544,207.425194465209,318
"154","2","25-34",NA,83.0797587864522,140.583780714119,647
"155","2","25-34",NA,4.82368907225894,35.4746433847764,647
"156","2","25-34",NA,24.5289408192101,119.057543681118,647
"157","2","25-34",NA,64.9870453531906,49.1985667886362,647
"158","2","25-34",NA,0.0665695326260769,1.09424651059624,647
"159","2","25-34",NA,124.157741639401,132.83430670962,647
"160","2","25-34",NA,0.318873524659791,3.7348592255538,647
"161","2","25-34",NA,583.324125093652,136.092556868953,647
"162","2","25-34",NA,8.84473739302379,32.3746402629671,647
"163","2","25-34",NA,3.90802195722637,21.5722604973043,647
"164","2","25-34",NA,15.6899671717816,33.399245171071,647
"165","2","25-34",NA,5.23487377510247,32.5898323990261,647
"166","2","25-34",NA,210.446699920418,173.628027492074,647
"167","2","25-34",NA,19.3674591343312,46.9660462724128,647
"168","2","25-34",NA,60.3399227158744,84.0667835406662,647
"169","2","25-34",NA,2.1116770953161,29.2389297481015,647
"170","2","25-34",NA,214.830335843721,249.548548108537,647
"171","2","35-44",NA,90.0331099200989,137.958685401427,802
"172","2","35-44",NA,4.02718804278191,37.5241040214091,802
"173","2","35-44",NA,8.67850733454762,50.522988098805,802
"174","2","35-44",NA,60.7149083249059,44.0848295287793,802
"175","2","35-44",NA,0.369830771769667,5.04468258851075,802
"176","2","35-44",NA,142.970327791089,134.586718026072,802
"177","2","35-44",NA,0.561818570433878,5.75159191532011,802
"178","2","35-44",NA,576.993687029271,127.949421272507,802
"179","2","35-44",NA,5.53421218598483,20.3779180181359,802
"180","2","35-44",NA,8.58371776366918,36.9581122495256,802
"181","2","35-44",NA,26.1316144068069,53.9872293708139,802
"182","2","35-44",NA,4.63994790213962,25.1971145067903,802
"183","2","35-44",NA,201.706020046909,162.008828764544,802
"184","2","35-44",NA,17.5241377367232,43.8035817262847,802
"185","2","35-44",NA,52.1726144895268,61.858497529045,802
"186","2","35-44",NA,5.25481683025457,35.7837559693419,802
"187","2","35-44",NA,218.160567074343,254.225105583219,802
"188","2","45-54",NA,19.7077510260435,56.3647283292064,661
"189","2","45-54",NA,6.33199716642125,41.0656686291646,661
"190","2","45-54",NA,10.4551601056787,69.7914025822975,661
"191","2","45-54",NA,57.2778462228832,42.0571713985876,661
"192","2","45-54",NA,0.136917204507439,3.34902323082863,661
"193","2","45-54",NA,142.259522999816,152.259054592822,661
"194","2","45-54",NA,1.07432843666983,9.1195964966657,661
"195","2","45-54",NA,580.462687042044,137.921079606021,661
"196","2","45-54",NA,9.28087616884781,25.9155235323502,661
"197","2","45-54",NA,8.99873203231297,32.5178973870376,661
"198","2","45-54",NA,24.4975051487059,51.4672826443796,661
"199","2","45-54",NA,4.91724015258308,25.5526159414865,661
